,new_cases
13721,0
7982,0
2180,1
3129,1
64618,1
32240,1
52679,1
56370,1
70059,1
20737,1
30839,1
17898,1
19927,1
40145,0
38279,1
62419,1
14398,1
59619,1
26389,1
52583,1
14966,1
5820,1
17200,1
58661,0
53303,1
26019,1
42441,0
31079,1
62413,1
773,1
3855,1
30525,0
62994,0
46242,1
40655,1
7383,1
8306,0
69938,0
44214,0
36149,1
45446,0
64695,1
42122,1
47106,1
48412,1
38137,0
8160,0
10417,0
5564,0
51758,1
64167,1
22224,1
36265,1
13977,1
49426,0
35555,0
58522,0
6561,0
44483,0
60244,1
38509,1
74195,0
61766,1
2592,0
53794,0
11471,0
49858,1
54534,1
76243,1
32388,0
67793,0
48751,1
57825,0
20670,0
73631,1
28408,1
21003,1
27373,0
3259,1
55846,1
8246,0
63713,1
60741,0
61303,1
62936,1
59354,0
38855,1
11617,1
71123,1
29977,1
13282,1
47364,1
52907,1
63625,1
44207,0
30622,0
59961,1
13575,0
61254,1
2436,0
1118,1
22260,0
63712,1
54193,1
7926,0
58405,0
26594,1
7339,1
196,1
17147,1
24856,1
72986,1
66189,1
53815,1
33466,0
72231,1
21419,0
23975,1
62896,1
52312,0
14225,1
11832,0
48761,1
76563,1
71877,1
65274,1
35783,1
33564,1
46168,0
15679,0
21538,0
22657,1
5992,1
36630,1
46027,0
42896,1
43192,0
14087,1
65870,1
44204,0
25461,1
12639,1
35345,1
73451,1
28148,0
69466,0
12945,1
8768,1
54598,1
18412,1
42725,1
56236,1
62581,1
42034,0
13745,0
68171,1
6545,0
39756,0
53069,1
11168,1
6667,1
28437,1
1956,1
433,1
20174,1
9555,0
47658,1
19051,1
42156,1
65283,1
64945,1
70143,1
37647,1
6016,1
9385,1
37161,1
28643,1
67737,0
48911,1
59809,1
71250,1
21981,0
23789,1
35496,1
50763,1
29142,0
4645,1
20564,1
46788,1
1824,1
15442,1
61703,1
71893,1
13250,1
23326,1
72879,1
53142,1
64918,1
45743,1
39862,1
72818,1
70917,1
60987,0
57405,1
15998,0
38357,0
1518,1
24563,0
63785,1
39425,1
16821,0
28701,0
12600,1
56068,1
71279,1
46255,1
23921,1
51691,1
29226,0
40034,1
53341,1
13670,1
20284,1
50002,0
8386,0
26599,1
33695,1
63716,1
36243,1
76357,1
72927,1
20858,1
62391,1
41781,1
66158,1
39920,0
40617,1
34172,1
49001,0
69311,0
20696,1
39625,0
58333,0
28856,1
14278,1
42432,1
14348,1
70150,1
8748,1
39362,1
53239,1
49750,0
48923,1
37073,0
9590,1
49026,0
38882,1
51256,1
7441,1
62686,0
54631,1
40890,1
25129,1
34741,1
20430,1
36129,1
18418,1
34472,1
59146,1
32092,1
20075,1
32405,0
484,1
52280,1
55340,1
55464,1
18329,1
6752,0
26522,1
28263,0
3269,1
74848,0
64815,1
61066,0
66910,1
49887,1
76217,1
58987,0
35366,1
2522,0
7947,0
20685,1
49278,0
67860,1
31295,1
5718,1
19136,0
69881,1
5497,1
31091,1
60427,1
40355,0
17902,1
8171,1
33815,1
63387,1
53586,0
31121,1
34452,1
45363,1
52355,1
60484,1
27534,1
75364,1
13099,1
50233,1
64762,1
41345,1
62141,1
75582,1
21175,1
31525,1
39046,0
70561,1
68030,1
15557,1
51573,1
76469,1
10894,1
41567,1
38058,0
70691,1
12883,1
2544,0
50458,1
69498,0
71286,1
15807,1
11115,0
74811,0
4157,1
47478,1
60392,1
38657,1
28847,1
32698,1
74014,0
26846,1
44756,1
36829,1
11436,0
6685,1
2359,0
43378,1
28650,1
27288,1
43230,1
24167,0
52885,0
33535,1
46653,1
43079,1
17555,1
16370,1
44903,1
28844,1
65800,1
31527,1
45093,1
46805,1
72162,1
64879,0
996,1
25950,0
